Player (29),Pos,Exp,Options  Minor,Status,Payroll Salary,Payroll Salary  Adjusted,Base Salary,Signing Bonus,Team,Year,Player (28),Player (30),Player (25),Player (27),Player (26),Player (31)
Bumgarner  Madison Bumgarner,SP,10.127,0,Veteran,19000000.0,14000000.0,19000000.0,-,arizona-diamondbacks,2021,,,,,,
Calhoun  Kole Calhoun,RF,7.13,0,Veteran,8000000.0,8000000.0,8000000.0,-,arizona-diamondbacks,2021,,,,,,
Peralta  David Peralta,LF,6.12,0,Veteran,7500000.0,7500000.0,7500000.0,-,arizona-diamondbacks,2021,,,,,,
Marte  Ketel Marte,CF,4.162,0,Arbitration 3 Bypassed,6400000.0,6400000.0,6000000.0,"$400,000",arizona-diamondbacks,2021,,,,,,
Kelly  Merrill Kelly,SP,2.0,0,Veteran,4250000.0,4250000.0,4250000.0,-,arizona-diamondbacks,2021,,,,,,
Weaver  Luke Weaver,SP,3.112,0,Arbitration 1,1950000.0,1950000.0,1950000.0,-,arizona-diamondbacks,2021,,,,,,
Clippard  Tyler Clippard,RP,11.134,0,Veteran,1750000.0,1750000.0,1750000.0,-,arizona-diamondbacks,2021,,,,,,
Kelly  Carson Kelly,C,2.161,0,Arbitration 1 (S2),1700000.0,1700000.0,1700000.0,-,arizona-diamondbacks,2021,,,,,,
Smith  Caleb Smith,SP,3.077,0,Arbitration 1,1386240.0,1386240.0,1386240.0,-,arizona-diamondbacks,2021,,,,,,
Devenski  Chris Devenski,RP,5.0,0,Veteran,1000000.0,1000000.0,1000000.0,-,arizona-diamondbacks,2021,,,,,,
Walker  Christian Walker,1B,2.124,0,Pre-Arbitration,619300.0,619300.0,619300.0,-,arizona-diamondbacks,2021,,,,,,
Gallen  Zac Gallen,SP,1.1,0,Pre-Arbitration,607500.0,607500.0,607500.0,-,arizona-diamondbacks,2021,,,,,,
Smith  Pavin Smith,RF,0.05,0,Pre-Arbitration,586600.0,586600.0,586600.0,-,arizona-diamondbacks,2021,,,,,,
Rojas  Josh Rojas,SS,0.152,1,Pre-Arbitration,582400.0,582400.0,582400.0,-,arizona-diamondbacks,2021,,,,,,
Wendelken  J.B. Wendelken,RP,2.028,0,Pre-Arbitration,580500.0,580500.0,580500.0,-,arizona-diamondbacks,2021,,,,,,
Widener  Taylor Widener,SP,1.0,2,Pre-Arbitration,583400.0,552112.0,583400.0,-,arizona-diamondbacks,2021,,,,,,
VanMeter  Josh VanMeter,2B,1.076,0,Pre-Arbitration,583400.0,495646.0,583400.0,-,arizona-diamondbacks,2021,,,,,,
Mantiply  Joe Mantiply,RP,0.061,2,Pre-Arbitration,570500.0,432447.0,570500.0,-,arizona-diamondbacks,2021,,,,,,
Varsho  Daulton Varsho,CF,0.167,2,Pre-Arbitration,570500.0,405783.0,570500.0,-,arizona-diamondbacks,2021,,,,,,
Ramirez  Noé Ramirez,RP,3.139,0,Arbitration 2 (S2),570500.0,328169.0,570500.0,-,arizona-diamondbacks,2021,,,,,,
de Geus  Brett de Geus,RP,,2,Pre-Arbitration,570500.0,303633.0,570500.0,-,arizona-diamondbacks,2021,,,,,,
