Player (15 of 15 + 2 of 3 TW),Pos,Age,Type,Cap Hit,Cap Hit Pct  League Cap,Base Salary,Incentives  Likely,Incentives  Unlikely,Trade Bonus  Proration,Guaranteed,Team,Year,Player (15 of 15 + 3 of 3 TW),Player (14 of 15 + 3 of 3 TW),Player (15 of 15 + 1 of 3 TW),Player (15 of 15 + 4 of 3 TW),Player (1),Player (14 of 15 + 2 of 3 TW),Player (15 of 15 + 5 of 3 TW),Player (16 of 15 + 3 of 3 TW),Player (14 of 15 + 1 of 3 TW)
Collins  John Collins,PF,24.0,FA,"$23,000,000",20.46%,23000000.0,-,-,-,"$23,000,000",atlanta-hawks,2021,,,,,,,,,
Gallinari  Danilo Gallinari,PF,33.0,S&T,"$20,475,000",18.21%,20475000.0,-,-,-,"$20,475,000",atlanta-hawks,2021,,,,,,,,,
Bogdanovic  Bogdan Bogdanovic,SG,29.0,FA,"$18,000,000",16.01%,18000000.0,-,-,-,"$18,000,000",atlanta-hawks,2021,,,,,,,,,
Capela  Clint Capela,C,27.0,,"$17,103,448",15.21%,17103448.0,-,"$2,000,000",-,"$17,103,448",atlanta-hawks,2021,,,,,,,,,
Wright  Delon Wright,PG,29.0,FA,"$8,526,316",7.58%,8526316.0,-,"$1,050,000",-,"$8,526,316",atlanta-hawks,2021,,,,,,,,,
Young  Trae Young,PG,23.0,RK-1ST,"$8,326,471",7.41%,8326471.0,-,-,-,"$8,326,471",atlanta-hawks,2021,,,,,,,,,
Hunter  De'Andre Hunter,SF,24.0,RK-1ST,"$7,775,400",6.92%,7775400.0,-,-,-,"$7,775,400",atlanta-hawks,2021,,,,,,,,,
Okongwu  Onyeka Okongwu,C,21.0,RK-1ST,"$6,104,280",5.43%,6104280.0,-,-,-,"$6,104,280",atlanta-hawks,2021,,,,,,,,,
Knox  Kevin Knox,SF,22.0,RK-1ST,"$5,845,978",5.20%,5845978.0,-,-,-,"$5,845,978",atlanta-hawks,2021,,,,,,,,,
Williams  Louis Williams,SG,35.0,FA,"$5,000,000",4.45%,5000000.0,-,-,-,"$5,000,000",atlanta-hawks,2021,,,,,,,,,
Huerter  Kevin Huerter,SG,23.0,RK-1ST,"$4,253,357",3.78%,4253357.0,-,-,-,"$4,253,357",atlanta-hawks,2021,,,,,,,,,
Dieng  Gorgui Dieng,C,32.0,FA,"$4,000,000",3.56%,4000000.0,-,-,-,"$4,000,000",atlanta-hawks,2021,,,,,,,,,
Johnson  Jalen Johnson,SF,20.0,RK-1ST,"$2,659,680",2.37%,2659680.0,-,-,-,"$2,659,680",atlanta-hawks,2021,,,,,,,,,
Luwawu-Cabarrot  Timothe Luwawu-Cabarrot,SG,26.0,FA,"$1,669,178",1.48%,1939350.0,-,-,-,"$1,939,350",atlanta-hawks,2021,,,,,,,,,
Mays  Skylar Mays,SG,24.0,ROS,"$34,231",0.03%,34231.0,-,-,-,"$34,231",atlanta-hawks,2021,,,,,,,,,
Young  Trae Young,PG,24.0,DRK-EXT,"$37,096,500",30.00%,37096500.0,-,-,-,"$37,096,500",atlanta-hawks,2022,,,,,,,,,
Collins  John Collins,PF,25.0,FA,"$23,500,000",19.00%,23500000.0,-,-,-,"$23,500,000",atlanta-hawks,2022,,,,,,,,,
Capela  Clint Capela,C,28.0,,"$18,706,897",15.13%,18206897.0,"$500,000","$1,500,000",-,"$18,206,897",atlanta-hawks,2022,,,,,,,,,
Bogdanovic  Bogdan Bogdanovic,SG,30.0,FA,"$18,000,000",14.56%,18000000.0,-,-,-,"$18,000,000",atlanta-hawks,2022,,,,,,,,,
Murray  Dejounte Murray,PG,26.0,RK-EXT,"$17,071,120",13.81%,16571120.0,"$500,000","$1,500,000",-,"$16,571,120",atlanta-hawks,2022,,,,,,,,,
Hunter  De'Andre Hunter,SF,25.0,RK-1ST,"$9,835,881",7.95%,9835881.0,-,-,-,"$9,835,881",atlanta-hawks,2022,,,,,,,,,
Okongwu  Onyeka Okongwu,C,22.0,RK-1ST,"$6,395,160",5.17%,6395160.0,-,-,-,"$6,395,160",atlanta-hawks,2022,,,,,,,,,
Griffin  A.J. Griffin,SF,19.0,RK-1ST,"$3,536,160",2.86%,3536160.0,-,-,-,"$3,536,160",atlanta-hawks,2022,,,,,,,,,
Bey  Saddiq Bey,SF,23.0,RK-1ST,"$2,959,080",2.39%,2959080.0,-,-,-,"$2,959,080",atlanta-hawks,2022,,,,,,,,,
Johnson  Jalen Johnson,SF,21.0,RK-1ST,"$2,792,640",2.26%,2792640.0,-,-,-,"$2,792,640",atlanta-hawks,2022,,,,,,,,,
Fernando  Bruno Fernando,C,24.0,VET-EXT,"$2,717,391",2.20%,2717391.0,-,-,-,"$2,717,391",atlanta-hawks,2022,,,,,,,,,
Mathews  Garrison Mathews,SG,26.0,ROS,"$2,000,000",1.62%,2000000.0,-,-,-,"$2,000,000",atlanta-hawks,2022,,,,,,,,,
Holiday  Aaron Holiday,PG,26.0,FA,"$1,836,090",1.48%,1968175.0,-,-,-,"$1,968,175",atlanta-hawks,2022,,,,,,,,,
Krejci  Vit Krejci,PG,22.0,RK,"$1,563,518",1.26%,1563518.0,-,-,-,"$1,563,518",atlanta-hawks,2022,,,,,,,,,
Martin  Tyrese Martin,SF,23.0,RK,"$1,017,781",0.82%,1017781.0,-,-,-,"$1,017,781",atlanta-hawks,2022,,,,,,,,,
,PG,25.0,DRK-EXT,"$40,064,220",29.45%,40064220.0,-,-,-,"$40,064,220",atlanta-hawks,2023,Young  Trae Young,,,,,,,,
,C,29.0,VET-EXT,"$20,616,000",15.16%,20616000.0,-,"$2,000,000",-,"$20,616,000",atlanta-hawks,2023,Capela  Clint Capela,,,,,,,,
,SF,26.0,RK-EXT,"$20,089,286",14.77%,20089286.0,-,"$1,250,000",-,"$20,089,286",atlanta-hawks,2023,Hunter  De'Andre Hunter,,,,,,,,
,SG,31.0,VET-EXT,"$18,700,000",13.75%,18700000.0,-,-,-,"$18,700,000",atlanta-hawks,2023,Bogdanovic  Bogdan Bogdanovic,,,,,,,,
,PG,27.0,RK-EXT,"$18,214,000",13.39%,17714000.0,"$500,000","$1,000,000",-,"$17,714,000",atlanta-hawks,2023,Murray  Dejounte Murray,,,,,,,,
,C,23.0,RK-1ST,"$8,109,063",5.96%,8109063.0,-,-,-,"$8,109,063",atlanta-hawks,2023,Okongwu  Onyeka Okongwu,,,,,,,,
,SF,24.0,RK-1ST,"$4,556,983",3.35%,4556983.0,-,-,-,"$4,556,983",atlanta-hawks,2023,Bey  Saddiq Bey,,,,,,,,
,PG,20.0,RK-1ST,"$4,094,280",3.01%,4094280.0,-,-,-,"$4,094,280",atlanta-hawks,2023,Bufkin  Kobe Bufkin,,,,,,,,
,SF,20.0,RK-1ST,"$3,712,920",2.73%,3712920.0,-,-,-,"$3,712,920",atlanta-hawks,2023,Griffin  A.J. Griffin,,,,,,,,
,SF,22.0,RK-1ST,"$2,925,360",2.15%,2925360.0,-,-,-,"$2,925,360",atlanta-hawks,2023,Johnson  Jalen Johnson,,,,,,,,
,C,25.0,VET-EXT,"$2,581,522",1.90%,2581522.0,-,-,-,"$2,581,522",atlanta-hawks,2023,Fernando  Bruno Fernando,,,,,,,,
,SG,37.0,FA,"$2,019,706",1.48%,3196448.0,-,-,-,"$3,196,448",atlanta-hawks,2023,Matthews  Wesley Matthews,,,,,,,,
,SG,27.0,ROS,"$2,000,000",1.47%,2000000.0,-,-,-,"$2,000,000",atlanta-hawks,2023,Mathews  Garrison Mathews,,,,,,,,
,PF,21.0,RK-2ND,"$1,119,563",0.82%,1119563.0,-,-,-,"$1,119,563",atlanta-hawks,2023,Gueye  Mouhamed Gueye,,,,,,,,
,PG,25.0,ROS,"$533,945",0.39%,553151.0,-,-,-,"$553,151",atlanta-hawks,2023,Forrest  Trent Forrest,,,,,,,,
,PG,26.0,DRK-EXT,"$43,031,940",30.61%,43031940.0,-,-,-,"$43,031,940",atlanta-hawks,2024,Young  Trae Young,,,,,,,,
,C,30.0,VET-EXT,"$22,265,280",15.84%,22265280.0,-,"$2,000,000",-,"$22,265,280",atlanta-hawks,2024,Capela  Clint Capela,,,,,,,,
,SG,30.0,FA,"$16,615,384",11.82%,16615384.0,-,-,-,"$16,615,384",atlanta-hawks,2024,LeVert  Caris LeVert,,,,,,,,
,C,24.0,RK-EXT,"$14,000,000",9.96%,14000000.0,-,-,-,"$14,000,000",atlanta-hawks,2024,Okongwu  Onyeka Okongwu,,,,,,,,
,SF,19.0,RK-1ST,"$12,569,040",8.94%,12569040.0,-,-,-,"$12,569,040",atlanta-hawks,2024,Risacher  Zaccharie Risacher,,,,,,,,
,SG,28.0,VET-EXT,"$11,423,077",8.13%,11423077.0,-,-,-,"$11,423,077",atlanta-hawks,2024,Mann  Terance Mann,,,,,,,,
,PF,32.0,VET-EXT,"$11,205,000",7.97%,11205000.0,-,-,-,"$11,205,000",atlanta-hawks,2024,Nance Jr.  Larry Nance Jr.,,,,,,,,
,PF,31.0,FA,"$8,500,000",6.05%,8500000.0,-,-,-,"$8,500,000",atlanta-hawks,2024,Niang  Georges Niang,,,,,,,,
,PG,21.0,RK-1ST,"$6,059,520",4.31%,6059520.0,-,-,-,"$6,059,520",atlanta-hawks,2024,Daniels  Dyson Daniels,,,,,,,,
,SF,23.0,RK-1ST,"$4,510,905",3.21%,4510905.0,-,-,-,"$4,510,905",atlanta-hawks,2024,Johnson  Jalen Johnson,,,,,,,,
,PG,21.0,RK-1ST,"$4,299,000",3.06%,4299000.0,-,-,-,"$4,299,000",atlanta-hawks,2024,Bufkin  Kobe Bufkin,,,,,,,,
,SG,28.0,ROS,"$2,230,253",1.59%,2230253.0,-,-,-,"$2,230,253",atlanta-hawks,2024,Mathews  Garrison Mathews,,,,,,,,
,PG,24.0,FA,"$2,162,606",1.54%,2162606.0,-,-,-,"$2,162,606",atlanta-hawks,2024,Krejci  Vit Krejci,,,,,,,,
,PF,22.0,RK-2ND,"$1,891,857",1.35%,1891857.0,-,-,-,"$1,891,857",atlanta-hawks,2024,Gueye  Mouhamed Gueye,,,,,,,,
,PF,21.0,ROS,"$491,887",0.35%,491887.0,-,-,-,"$491,887",atlanta-hawks,2024,Barlow  Dominick Barlow,,,,,,,,
,PG,27.0,DRK-EXT,"$45,999,660",29.74%,45999660.0,-,-,-,"$45,999,660",atlanta-hawks,2025,,Young  Trae Young,,,,,,,
,PF,30.0,VET-EXT,"$30,731,707",19.87%,30731707.0,-,-,-,"$30,731,707",atlanta-hawks,2025,,Porzingis  Kristaps Porzingis,,,,,,,
,SF,24.0,RK-EXT,"$30,000,000",19.40%,30000000.0,-,-,-,"$30,000,000",atlanta-hawks,2025,,Johnson  Jalen Johnson,,,,,,,
,SG,27.0,S&T,"$15,161,800",9.80%,15161800.0,-,-,-,"$15,161,800",atlanta-hawks,2025,,Alexander-Walker  Nickeil Alexander-Walker,,,,,,,
,C,25.0,RK-EXT,"$15,000,000",9.70%,15000000.0,-,-,-,"$15,000,000",atlanta-hawks,2025,,Okongwu  Onyeka Okongwu,,,,,,,
,SF,20.0,RK-1ST,"$13,197,720",8.53%,13197720.0,-,-,-,"$13,197,720",atlanta-hawks,2025,,Risacher  Zaccharie Risacher,,,,,,,
,SG,29.0,FA,"$11,000,000",7.11%,11000000.0,-,-,-,"$11,000,000",atlanta-hawks,2025,,Kennard  Luke Kennard,,,,,,,
,PG,22.0,RK-1ST,"$7,707,709",4.98%,7707709.0,-,-,-,"$7,707,709",atlanta-hawks,2025,,Daniels  Dyson Daniels,,,,,,,
,PF,20.0,RK-1ST,"$3,237,480",2.09%,3237480.0,-,-,-,"$3,237,480",atlanta-hawks,2025,,Newell  Asa Newell,,,,,,,
,PG,25.0,FA,"$2,349,578",1.52%,2349578.0,-,-,-,"$1,500,000",atlanta-hawks,2025,,Krejci  Vit Krejci,,,,,,,
,G,26.0,,"$2,296,274",1.48%,2296274.0,-,-,-,-,atlanta-hawks,2025,,Wallace  Keaton Wallace,,,,,,,
,PF,23.0,RK-2ND,"$2,221,677",1.44%,2221677.0,-,-,-,-,atlanta-hawks,2025,,Gueye  Mouhamed Gueye,,,,,,,
,PF,24.0,FA,"$2,048,494",1.32%,2048494.0,-,-,-,"$85,300",atlanta-hawks,2025,,Dante  N'Faly Dante,,,,,,,
,SF,21.0,RK-2ND,"$1,272,870",0.82%,1272870.0,-,-,-,"$1,272,870",atlanta-hawks,2025,,Djurisic  Nikola Djurisic,,,,,,,
Tatum  Jayson Tatum,PF,23.0,DRK-EXT,"$28,103,500",25.00%,28103500.0,-,-,-,"$28,103,500",boston-celtics,2021,,,,,,,,,
Horford  Al Horford,C,35.0,FA,"$27,000,000",24.02%,27000000.0,-,-,-,"$27,000,000",boston-celtics,2021,,,,,,,,,
Brown  Jaylen Brown,SF,25.0,RK-EXT,"$26,758,929",23.80%,24830357.0,"$1,928,572","$964,284",-,"$24,830,357",boston-celtics,2021,,,,,,,,,
White  Derrick White,PG,27.0,RK-EXT,"$15,178,571",13.50%,15178571.0,-,"$1,250,000",-,"$15,178,571",boston-celtics,2021,,,,,,,,,
Smart  Marcus Smart,PG,27.0,FA,"$13,839,285",12.31%,13839285.0,-,"$500,000",-,"$13,839,285",boston-celtics,2021,,,,,,,,,
Theis  Daniel Theis,C,29.0,S&T,"$8,280,351",7.37%,8280351.0,-,-,-,"$8,280,351",boston-celtics,2021,,,,,,,,,
Williams III  Robert Williams III,C,24.0,RK-1ST,"$3,661,976",3.26%,3661976.0,-,-,-,"$3,661,976",boston-celtics,2021,,,,,,,,,
Nesmith  Aaron Nesmith,SF,22.0,RK-1ST,"$3,631,200",3.23%,3631200.0,-,-,-,"$3,631,200",boston-celtics,2021,,,,,,,,,
Williams  Grant Williams,PF,23.0,RK-1ST,"$2,617,800",2.33%,2617800.0,-,-,-,"$2,617,800",boston-celtics,2021,,,,,,,,,
Pritchard  Payton Pritchard,PG,24.0,RK-1ST,"$2,137,440",1.90%,2137440.0,-,-,-,"$2,137,440",boston-celtics,2021,,,,,,,,,
Kornet  Luke Kornet,C,26.0,ROS,"$565,987",0.50%,606702.0,-,-,-,"$606,702",boston-celtics,2021,,,,,,,,,
Stauskas  Nik Stauskas,SG,28.0,ROS,"$423,536",0.38%,423536.0,-,-,-,"$423,536",boston-celtics,2021,,,,,,,,,
Hauser  Sam Hauser,SF,24.0,ROS,"$313,737",0.28%,313737.0,-,-,-,"$313,737",boston-celtics,2021,,,,,,,,,
Fitts  Malik Fitts,PF,24.0,ROS,"$231,062",0.21%,231062.0,-,-,-,"$231,062",boston-celtics,2021,,,,,,,,,
Morgan  Juwan Morgan,SF,24.0,ROS,"$19,186",0.02%,19186.0,-,-,-,"$19,186",boston-celtics,2021,,,,,,,,,
Tatum  Jayson Tatum,PF,24.0,DRK-EXT,"$30,351,780",24.55%,30351780.0,-,-,-,"$30,351,780",boston-celtics,2022,,,,,,,,,
Brown  Jaylen Brown,SF,26.0,RK-EXT,"$29,776,785",24.08%,26669643.0,"$3,107,142",-,-,"$26,669,642",boston-celtics,2022,,,,,,,,,
